Date;High price;Low price;Closing price;Average price;Total volume;Turnover;
2018-08-01;103.31;103.31;103.31;103.31;20;2.066;
2018-07-31;102.94;102.69;102.94;102.71;110;11.298;
2018-07-30;103.54;103.34;103.36;103.38;68;7.030;
2018-07-27;104.19;103.34;104.19;103.82;43;4.464;
2018-07-26;103.64;103.64;103.64;103.64;10;1.036;
2018-07-25;104.14;104.04;104.14;104.09;20;2.082;
2018-07-24;103.94;103.91;103.94;103.94;105;10.914;
2018-07-23;104.39;103.90;103.90;103.92;310;32.214;
2018-07-20;104.14;104.14;104.14;104.14;10;1.041;
2018-07-19;103.84;103.65;103.84;103.76;1.352;140.290;
2018-07-18;104.41;104.14;104.14;104.36;50;5.218;
2018-07-17;105.84;105.84;105.84;105.84;10;1.058;
2018-07-16;106.40;106.40;106.40;106.40;20;2.128;
2018-07-13;;;106.00;;;;
2018-07-12;;;106.00;;;;
2018-07-11;106.00;106.00;106.00;106.00;10;1.060;
2018-07-10;106.44;106.44;106.44;106.44;10;1.064;
2018-07-09;107.54;107.24;107.24;107.46;40;4.298;
2018-07-06;107.04;107.04;107.04;107.04;10;1.070;
2018-07-05;106.65;106.24;106.65;106.59;113;12.045;
2018-07-04;107.74;107.74;107.74;107.74;10;1.077;
2018-07-03;107.74;107.74;107.74;107.74;10;1.077;
2018-07-02;;;110.19;;;;
2018-06-29;;;110.19;;;;
2018-06-28;110.62;110.12;110.19;110.17;269;29.636;
2018-06-27;;;110.04;;;;
2018-06-26;110.44;110.04;110.04;110.24;20;2.205;
2018-06-25;111.30;111.30;111.30;111.30;880;97.944;
2018-06-21;110.74;110.74;110.74;110.74;10;1.107;
2018-06-20;110.96;110.96;110.96;110.96;100;11.096;
2018-06-19;;;111.33;;;;
2018-06-18;111.33;111.33;111.33;111.33;15;1.670;
2018-06-15;115.48;115.48;115.48;115.48;20;2.310;
2018-06-14;112.94;112.94;112.94;112.94;10;1.129;
2018-06-13;112.06;112.06;112.06;112.06;300;33.618;
2018-06-12;111.70;111.54;111.54;111.64;25;2.791;
2018-06-11;111.94;111.74;111.74;111.83;19;2.125;
2018-06-08;112.22;111.81;111.94;112.18;335;37.581;
2018-06-07;111.93;111.24;111.93;111.81;803;89.780;
2018-06-05;110.77;110.77;110.77;110.77;200;22.154;
2018-06-04;110.13;109.94;109.94;110.12;360;39.645;
2018-06-01;111.30;110.54;111.30;111.06;192;21.323;
2018-05-31;;;111.57;;;;
2018-05-30;;;111.57;;;;
2018-05-29;111.57;111.57;111.57;111.57;475;52.996;
2018-05-28;110.55;110.52;110.55;110.54;20;2.211;
2018-05-25;;;110.95;;;;
2018-05-24;110.95;110.51;110.95;110.88;60;6.653;
2018-05-23;109.94;109.77;109.77;109.82;35;3.844;
2018-05-22;109.74;109.57;109.74;109.60;140;15.344;
2018-05-21;109.55;109.55;109.55;109.55;35;3.834;
2018-05-18;109.76;109.76;109.76;109.76;65;7.134;
2018-05-17;110.02;109.00;110.02;109.89;495;54.396;
2018-05-16;108.74;108.17;108.74;108.33;35;3.792;
2018-05-15;108.79;108.67;108.79;108.68;190;20.649;
2018-05-14;109.84;109.84;109.84;109.84;10;1.098;
2018-05-11;110.72;110.72;110.72;110.72;10;1.107;
2018-05-09;111.20;111.03;111.03;111.05;340;37.756;
2018-05-08;111.67;111.20;111.20;111.48;95;10.590;
2018-05-07;111.54;111.47;111.54;111.50;28;3.122;
2018-05-04;111.15;111.15;111.15;111.15;23;2.556;
2018-05-03;111.89;111.79;111.79;111.85;28;3.132;
2018-05-02;112.00;110.65;112.00;110.80;557;61.716;
2018-04-30;109.35;109.00;109.35;109.07;110;11.998;
2018-04-27;110.58;109.99;109.99;110.23;30;3.307;
2018-04-26;109.00;108.95;109.00;108.99;138;15.040;
2018-04-25;;;108.92;;;;
2018-04-24;109.05;108.92;108.92;108.92;380;41.391;
2018-04-23;111.13;108.66;108.66;110.26;246;27.123;
2018-04-20;;;111.21;;;;
2018-04-19;111.68;111.21;111.21;111.34;14;1.559;
2018-04-18;110.95;110.95;110.95;110.95;15;1.664;
2018-04-17;108.46;108.44;108.44;108.45;20;2.169;
2018-04-16;108.37;108.37;108.37;108.37;10;1.084;
2018-04-13;108.25;107.76;108.25;107.78;517;55.720;
2018-04-12;107.15;107.15;107.15;107.15;100;10.715;
2018-04-11;106.58;106.58;106.58;106.58;10;1.066;
2018-04-10;106.05;105.89;105.97;105.93;331;35.062;
2018-04-09;105.81;105.81;105.81;105.81;10;1.058;
2018-04-06;105.94;105.62;105.62;105.67;108;11.412;
2018-04-05;104.82;104.53;104.53;104.78;65;6.811;
2018-04-04;106.46;106.02;106.46;106.24;20;2.125;
2018-04-03;106.96;106.50;106.75;106.89;166;17.744;
2018-03-29;104.60;104.56;104.60;104.58;20;2.092;
2018-03-28;105.22;104.66;104.66;104.96;67;7.032;
2018-03-27;105.61;105.51;105.52;105.56;530;55.949;
2018-03-26;104.95;104.64;104.95;104.94;510;53.521;
2018-03-23;105.38;105.27;105.27;105.31;1.515;159.541;
2018-03-22;104.20;103.94;103.94;104.02;145;15.082;
2018-03-21;103.71;102.97;103.71;103.09;60;6.186;
2018-03-20;;;104.62;;;;
2018-03-19;;;104.62;;;;
2018-03-16;;;104.62;;;;
2018-03-15;;;104.62;;;;
2018-03-14;;;104.62;;;;
2018-03-13;;;104.62;;;;
2018-03-12;104.80;104.62;104.62;104.67;400;41.866;
2018-03-09;104.93;104.93;104.93;104.93;400;41.972;
2018-03-08;;;105.75;;;;
2018-03-07;105.75;105.75;105.75;105.75;500;52.875;
2018-03-06;;;105.41;;;;
2018-03-05;105.41;105.41;105.41;105.41;700;73.787;
2018-03-02;104.95;104.95;104.95;104.95;10;1.050;
2018-03-01;;;104.62;;;;
2018-02-28;104.62;104.62;104.62;104.62;479;50.113;
2018-02-27;104.86;104.86;104.86;104.86;10;1.049;
2018-02-26;104.89;104.89;104.89;104.89;500;52.445;
2018-02-23;;;103.42;;;;
2018-02-22;;;103.42;;;;
2018-02-21;;;103.42;;;;
2018-02-20;;;103.42;;;;
2018-02-19;;;103.42;;;;
2018-02-16;;;103.42;;;;
2018-02-15;103.42;103.42;103.42;103.42;500;51.710;
2018-02-14;102.65;102.65;102.65;102.65;500;51.325;
2018-02-13;103.64;103.58;103.58;103.63;640;66.321;
2018-02-12;102.55;102.55;102.55;102.55;45;4.615;
2018-02-09;;;101.69;;;;
2018-02-08;;;101.69;;;;
2018-02-07;101.69;101.69;101.69;101.69;500;50.845;
2018-02-06;103.85;103.33;103.33;103.34;510;52.704;
2018-02-05;103.34;103.34;103.34;103.34;25;2.584;
2018-02-02;;;104.60;;;;
2018-02-01;;;104.60;;;;
2018-01-31;104.60;104.58;104.60;104.58;499;52.186;
2018-01-30;105.24;104.86;104.86;104.88;270;28.318;
2018-01-29;;;107.30;;;;
2018-01-26;;;107.30;;;;
2018-01-25;107.68;107.30;107.30;107.35;230;24.690;
2018-01-24;106.90;106.90;106.90;106.90;300;32.070;
2018-01-23;105.95;104.34;104.34;105.89;285;30.180;
2018-01-22;;;109.10;;;;
2018-01-19;;;109.10;;;;
2018-01-18;;;109.10;;;;
2018-01-17;;;109.10;;;;
2018-01-16;;;109.10;;;;
2018-01-15;;;109.10;;;;
2018-01-12;;;109.10;;;;
2018-01-11;;;109.10;;;;
2018-01-10;109.10;109.10;109.10;109.10;10;1.091;
2018-01-09;;;108.78;;;;
2018-01-08;;;108.78;;;;
2018-01-05;108.78;108.78;108.78;108.78;100;10.878;
2018-01-04;;;108.85;;;;
2018-01-03;108.85;108.80;108.85;108.83;20;2.177;
2018-01-02;;;107.78;;;;
2017-12-29;;;107.78;;;;
2017-12-28;107.78;107.76;107.78;107.77;62;6.682;
2017-12-27;107.80;107.65;107.79;107.70;60;6.462;
2017-12-22;105.64;105.64;105.64;105.64;10;1.056;
2017-12-21;106.04;106.03;106.04;106.04;20;2.121;
2017-12-20;105.24;105.24;105.24;105.24;100;10.524;
2017-12-19;105.80;105.80;105.80;105.80;15;1.587;
2017-12-18;105.92;105.77;105.77;105.80;132;13.966;
2017-12-15;;;103.99;;;;
2017-12-14;104.93;103.99;103.99;104.46;20;2.089;
2017-12-13;;;102.87;;;;
2017-12-12;103.38;102.87;102.87;103.12;103;10.621;
2017-12-11;104.02;104.02;104.02;104.02;40;4.161;
2017-12-08;104.31;104.04;104.04;104.24;109;11.362;
2017-12-07;104.18;104.18;104.18;104.18;10;1.042;
2017-12-06;105.60;104.59;104.59;105.25;1.153;121.358;
2017-12-05;106.55;106.55;106.55;106.55;20;2.131;
2017-12-04;;;106.55;;;;
2017-12-01;;;106.55;;;;
2017-11-30;107.57;106.55;106.55;106.65;105;11.198;
2017-11-29;;;109.68;;;;
2017-11-28;109.68;109.68;109.68;109.68;10;1.097;
2017-11-27;;;113.08;;;;
2017-11-24;;;113.08;;;;
2017-11-23;;;113.08;;;;
2017-11-22;;;113.08;;;;
2017-11-21;;;113.08;;;;
2017-11-20;113.08;113.08;113.08;113.08;15;1.696;
2017-11-17;112.08;112.08;112.08;112.08;74;8.294;
2017-11-16;;;112.29;;;;
2017-11-15;112.29;112.29;112.29;112.29;100;11.229;
2017-11-14;;;111.85;;;;
2017-11-13;;;111.85;;;;
2017-11-10;;;111.85;;;;
2017-11-09;;;111.85;;;;
2017-11-08;111.85;111.85;111.85;111.85;50;5.593;
2017-11-07;;;112.37;;;;
2017-11-06;;;112.37;;;;
2017-11-03;112.37;112.37;112.37;112.37;50;5.619;
2017-11-02;112.13;112.13;112.13;112.13;130;14.577;
2017-11-01;111.30;111.30;111.30;111.30;130;14.469;
2017-10-31;110.21;110.21;110.21;110.21;130;14.327;
2017-10-30;;;109.48;;;;
2017-10-27;109.48;109.07;109.48;109.14;60;6.548;
2017-10-26;;;108.80;;;;
2017-10-25;;;108.80;;;;
2017-10-24;;;108.80;;;;
2017-10-23;108.80;108.80;108.80;108.80;100;10.880;
2017-10-20;;;108.22;;;;
2017-10-19;;;108.22;;;;
2017-10-18;;;108.22;;;;
2017-10-17;;;108.22;;;;
2017-10-16;;;108.22;;;;
2017-10-13;;;108.22;;;;
2017-10-12;108.22;108.22;108.22;108.22;10;1.082;
2017-10-11;108.02;108.02;108.02;108.02;12;1.296;
2017-10-10;;;107.42;;;;
2017-10-09;107.42;107.42;107.42;107.42;700;75.194;
2017-10-06;105.00;105.00;105.00;105.00;10;1.050;
2017-10-05;;;106.77;;;;
2017-10-04;;;106.77;;;;
2017-10-03;;;106.77;;;;
2017-10-02;;;106.77;;;;
2017-09-29;106.77;106.77;106.77;106.77;20;2.135;
2017-09-28;;;107.66;;;;
2017-09-27;107.66;107.36;107.66;107.55;110;11.831;
2017-09-26;108.32;108.32;108.32;108.32;2.000;216.640;
2017-09-25;;;106.35;;;;
2017-09-22;;;106.35;;;;
2017-09-21;106.35;106.35;106.35;106.35;40;4.254;
2017-09-20;107.93;107.93;107.93;107.93;10;1.079;
2017-09-19;;;108.18;;;;
2017-09-18;109.05;108.14;108.18;108.57;370;40.173;
2017-09-15;111.34;111.34;111.34;111.34;10;1.113;
2017-09-14;;;112.17;;;;
2017-09-13;;;112.17;;;;
2017-09-12;;;112.17;;;;
2017-09-11;112.17;112.17;112.17;112.17;15;1.683;
2017-09-08;112.30;112.30;112.30;112.30;10;1.123;
2017-09-07;111.63;111.63;111.63;111.63;2;223;
2017-09-06;;;108.69;;;;
2017-09-05;;;108.69;;;;
2017-09-04;;;108.69;;;;
2017-09-01;;;108.69;;;;
2017-08-31;108.69;108.69;108.69;108.69;46;5.000;
2017-08-30;108.82;108.82;108.82;108.82;200;21.764;
2017-08-29;;;108.05;;;;
2017-08-28;;;108.05;;;;
2017-08-25;;;108.05;;;;
2017-08-24;;;108.05;;;;
2017-08-23;108.05;108.05;108.05;108.05;15;1.621;
